name calories sodium alcohol cost
Qingdao 123 17 6 0.6
Laoshan 132 22 3.6 0.49
Yanjing 137 17 0.65 0.42
Haerbing 173 7.2 5.4 0.69
Kirin 155 13 5.2 0.78
Zibo 147 23.5 4.7 0.31
Beijing 173 23.7 5.3 0.42
Xuehua 146 26 4.4 0.39
qixi 100 11 4.2 0.45
kele 118 7.7 3.5 0.38
xuebi 145 18.2 4.5 0.49
meinianda 105 15.3 4.2 0.49
zhonghua 133 10.5 4.1 0.49
huanghelou 147 18.6 4.4 0.81
baishi 144 6.2 5.2 0.75
xiusidun 70 13 2.2 0.33
laolishi 145 22 4.7 0.48
wojainfei 143 23 4.5 0.41
xiangchiyu 75 7 3.3 0.48
shuijiao 100 9 4.4 0.51
